SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
,,11-1984,95982.0
,,12-1984,96107.0
,,01-1985,96372.0
,,02-1985,96503.0
,,03-1985,96842.0
,,04-1985,97038.0
,,05-1985,97312.0
,,06-1985,97459.0
,,07-1985,97648.0
,,08-1985,97840.0
,,09-1985,98045.0
,,10-1985,98233.0
,,11-1985,98443.0
,,12-1985,98609.0
,,01-1986,98732.0
,,02-1986,98847.0
,,03-1986,98934.0
,,04-1986,99121.0
,,05-1986,99248.0
,,06-1986,99155.0
,,07-1986,99473.0
,,08-1986,99588.0
,,09-1986,99934.0
,,10-1986,100121.0
,,11-1986,100308.0
,,12-1986,100509.0
,,01-1987,100678.0
,,02-1987,100919.0
,,03-1987,101164.0
,,04-1987,101499.0
,,05-1987,101728.0
,,06-1987,101900.0
,,07-1987,102247.0
,,08-1987,102420.0
,,09-1987,102647.0
,,10-1987,103138.0
,,11-1987,103372.0
,,12-1987,103661.0
,,01-1988,103753.0
,,02-1988,104214.0
,,03-1988,104489.0
,,04-1988,104732.0
,,05-1988,104962.0
,,06-1988,105326.0
,,07-1988,105550.0
,,08-1988,105674.0
,,09-1988,106013.0
,,10-1988,106276.0
,,11-1988,106617.0
,,12-1988,106898.0
,,01-1989,107161.0
,,02-1989,107427.0
,,03-1989,107621.0
,,04-1989,107791.0
,,05-1989,107913.0
,,06-1989,108027.0
,,07-1989,108069.0
,,08-1989,108120.0
,,09-1989,108369.0
,,10-1989,108476.0
,,11-1989,108752.0
,,12-1989,108836.0
,,01-1990,109199.0
,,02-1990,109435.0
,,03-1990,109644.0
,,04-1990,109686.0
,,05-1990,109839.0
,,06-1990,109856.0
,,07-1990,109824.0
,,08-1990,109616.0
,,09-1990,109518.0
,,10-1990,109367.0
,,11-1990,109214.0
,,12-1990,109166.0
,,01-1991,109055.0
,,02-1991,108734.0
,,03-1991,108574.0
,,04-1991,108364.0
,,05-1991,108249.0
,,06-1991,108334.0
,,07-1991,108292.0
,,08-1991,108310.0
,,09-1991,108336.0
,,10-1991,108357.0
,,11-1991,108296.0
,,12-1991,108328.0
,,01-1992,108369.0
,,02-1992,108311.0
,,03-1992,108365.0
,,04-1992,108519.0
,,05-1992,108649.0
,,06-1992,108715.0
,,07-1992,108793.0
,,08-1992,108925.0
,,09-1992,108959.0
,,10-1992,109139.0
,,11-1992,109272.0
,,12-1992,109495.0
,,01-1993,109794.0
,,02-1993,110044.0
,,03-1993,109994.0
,,04-1993,110296.0
,,05-1993,110568.0
,,06-1993,110749.0
,,07-1993,111055.0
,,08-1993,111206.0
,,09-1993,111448.0
,,10-1993,111733.0
,,11-1993,111984.0
,,12-1993,112314.0
,,01-1994,112595.0
,,02-1994,112781.0
,,03-1994,113242.0
,,04-1994,113586.0
,,05-1994,113921.0
,,06-1994,114238.0
,,07-1994,114610.0
,,08-1994,114896.0
,,09-1994,115247.0
,,10-1994,115458.0
,,11-1994,115869.0
,,12-1994,116165.0
,,01-1995,116501.0
,,02-1995,116697.0
,,03-1995,116907.0
,,04-1995,117069.0
,,05-1995,117049.0
,,06-1995,117286.0
,,07-1995,117380.0
,,08-1995,117634.0
,,09-1995,117875.0
,,10-1995,118031.0
,,11-1995,118175.0
,,12-1995,118320.0
,,01-1996,118316.0
,,02-1996,118739.0
,,03-1996,118993.0
,,04-1996,119158.0
,,05-1996,119486.0
,,06-1996,119769.0
,,07-1996,120015.0
,,08-1996,120199.0
,,09-1996,120410.0
,,10-1996,120665.0
,,11-1996,120961.0
,,12-1996,121143.0
,,01-1997,121363.0
,,02-1997,121675.0
,,03-1997,121990.0
,,04-1997,122286.0
,,05-1997,122546.0
,,06-1997,122814.0
,,07-1997,123111.0
,,08-1997,123093.0
,,09-1997,123585.0
,,10-1997,123929.0
,,11-1997,124235.0
,,12-1997,124549.0
,,01-1998,124812.0
,,02-1998,125016.0
,,03-1998,125164.0
,,04-1998,125442.0
,,05-1998,125844.0
,,06-1998,126076.0
,,07-1998,126205.0
,,08-1998,126544.0
,,09-1998,126752.0
,,10-1998,126954.0
,,11-1998,127231.0
,,12-1998,127596.0
,,01-1999,127702.0
,,02-1999,128120.0
,,03-1999,128227.0
,,04-1999,128597.0
,,05-1999,128808.0
,,06-1999,129089.0
,,07-1999,129414.0
,,08-1999,129569.0
,,09-1999,129772.0
,,10-1999,130177.0
,,11-1999,130466.0
,,12-1999,130772.0
,,01-2000,131005.0
,,02-2000,131124.0
,,03-2000,131596.0
,,04-2000,131888.0
,,05-2000,132105.0
,,06-2000,132061.0
,,07-2000,132236.0
,,08-2000,132230.0
,,09-2000,132353.0
,,10-2000,132351.0
,,11-2000,132556.0
,,12-2000,132709.0
,,01-2001,132698.0
,,02-2001,132789.0
,,03-2001,132747.0
,,04-2001,132463.0
,,05-2001,132410.0
,,06-2001,132299.0
,,07-2001,132177.0
,,08-2001,132028.0
,,09-2001,131771.0
,,10-2001,131454.0
,,11-2001,131142.0
,,12-2001,130982.0
,,01-2002,130852.0
,,02-2002,130736.0
,,03-2002,130717.0
,,04-2002,130623.0
,,05-2002,130634.0
,,06-2002,130684.0
,,07-2002,130590.0
,,08-2002,130587.0
,,09-2002,130501.0
,,10-2002,130628.0
,,11-2002,130615.0
,,12-2002,130472.0
,,01-2003,130580.0
,,02-2003,130444.0
,,03-2003,130232.0
,,04-2003,130177.0
,,05-2003,130196.0
,,06-2003,130194.0
,,07-2003,130191.0
,,08-2003,130149.0
,,09-2003,130254.0
